drwNo,Win
799,6
800,8
801,9
802,10
803,12
804,10
805,15
806,8
807,6
808,7
809,11
810,8
811,12
812,8
813,11
814,6
815,9
816,12
817,11
818,6
819,8
820,7
821,6
822,5
823,10
824,8
825,8
826,9
827,7
828,11
829,12
830,12
831,8
832,12
833,11
834,9
835,10
836,8
837,11
838,5
839,15
840,8
841,5
842,15
843,9
844,17
845,12
846,11
847,5
848,10
849,9
850,6
851,10
852,10
853,14
854,8
855,18
856,12
857,9
858,11
859,11
860,10
861,11
862,9
863,13
864,10
865,5
866,6
867,10
868,3
869,10
870,13
871,9
872,6
873,13
874,11
875,10
876,10
877,7
878,9
879,8
880,10
881,6
882,11
883,16
884,9
885,14
886,15
887,12
888,13
889,11
890,16
891,11
892,20
893,6
894,8
895,7
896,8
897,15
898,11
899,13
900,8
901,9
902,10
903,10
904,12
905,12
906,13
907,15
908,14
909,6
910,12
911,10
912,9
913,8
914,7
915,8
916,7
917,9
918,12
919,13
920,9
921,9
922,9
923,15
924,13
925,12
926,13
927,15
928,9
929,10
930,12
931,16
932,9
933,7
934,13
935,5
936,10
937,7
938,17
939,6
940,9
941,12
942,24
943,14
944,10
945,13
946,8
947,7
948,15
949,14
950,12
951,9
952,15
953,11
954,19
955,16
956,12
957,14
958,16
959,8
960,19
961,19
962,6
963,15
964,6
965,11
966,14
967,13
968,8
969,14
970,9
971,23
972,10
973,14
974,11
975,6
976,8
977,9
978,11
979,18
980,18
981,8
982,13
983,6
984,11
985,6
986,7
987,17
988,11
989,9
990,12
991,7
992,14
993,13
994,18
995,14
996,13
997,19
998,10
999,11
1000,10
1001,12
1002,8
1003,11
1004,8
1005,9
1006,13
1007,11
1008,11
1009,7
1010,13
1011,16
1012,13
1013,17
1014,9
1015,14
1016,9
1017,16
1018,15
1019,8
1020,7
1021,9
1022,14
1023,23
1024,10
1025,22
1026,6
1027,16
1028,14
1029,14
1030,14
1031,14
1032,20
1033,15
1034,10
1035,14
1036,13
1037,10
1038,22
1039,12
1040,9
1041,15
1042,18
1043,9
1044,10
1045,15
1046,15
1047,13
1048,16
1049,21
1050,12
1051,10
1052,18
1053,20
1054,12
1055,13
